Iteracion,Cantidad_Numeros,Rango_Min_Generado,Rango_Max_Generado,Maximo,Minimo,Media,Media_Geometrica,Mediana,Moda,Momento_Origen_1,Momento_Origen_2,Momento_Origen_3,Momento_Origen_4,Momento_Central_2,Momento_Central_3,Momento_Central_4,Varianza_Muestral,Desviacion_Estandar_Muestral,Momento_Estandar_2,Momento_Estandar_3,Momento_Estandar_4,Curtosis,Cuartil_1,Cuartil_2,Cuartil_3,Decil_1,Decil_2,Decil_3,Decil_4,Decil_5,Decil_6,Decil_7,Decil_8,Decil_9,Decil_10,Percentil_10,Percentil_20,Percentil_30,Percentil_40,Percentil_50,Percentil_60,Percentil_70,Percentil_80,Percentil_90,Percentil_100
11,9200,-77.00,18.00,17.984314,-77.000000,-29.278156,21.263409i,-28.909153,-49.000000,-29.278248,1609.067094,-91524.146246,5665092.642766,751.851301,-387.911819,1017875.860156,751.933044,27.421398,0.999891,-0.018813,1.800265,1.800265,-52.782799,-28.916401,-5.557370,-67.580429,-57.714375,-48.402073,-38.443245,-28.916401,-19.482334,-10.143939,-0.840335,8.344400,17.984314,-67.580429,-57.714375,-48.402073,-38.443245,-28.916401,-19.482334,-10.143939,-0.840335,8.344400,17.984314
12,1000,-26.00,27.52,27.499567,-25.968967,1.035664,9.786861,0.993141,23.000000,1.035667,236.339198,633.617761,100426.593791,235.266592,-98.464308,99319.266261,235.502090,15.346077,0.999000,-0.027245,1.790787,1.790787,-12.184124,0.949043,14.390899,-19.961781,-15.520905,-9.270361,-4.270905,0.949043,6.547911,11.877288,16.808146,22.393948,27.499567,-19.961781,-15.520905,-9.270361,-4.270905,0.949043,6.547911,11.877288,16.808146,22.393948,27.499567
13,9600,-50.00,71.00,70.977844,-50.000000,10.138983,22.724502i,9.779916,3.000000,10.138999,1343.009195,39774.302251,3551866.000688,1240.209903,1008.619944,2735438.973076,1240.339111,35.218449,0.999896,0.023090,1.778059,1.778059,-20.587328,9.778069,41.450699,-38.179539,-26.296305,-14.516465,-2.696005,9.778069,21.761009,34.918240,47.296303,59.212776,70.977844,-38.179539,-26.296305,-14.516465,-2.696005,9.778069,21.761009,34.918240,47.296303,59.212776,70.977844
14,9800,-61.00,76.00,75.991638,-60.987457,7.948206,25.834143,8.505539,63.000000,7.948218,1642.536342,36492.201362,5004441.885539,1579.362178,-1669.209944,4454872.208669,1579.523315,39.743217,0.999898,-0.026590,1.785596,1.785596,-26.778221,8.505539,42.635334,-47.465988,-33.906887,-19.340158,-5.939939,8.505539,22.323862,36.125462,49.212105,62.411633,75.991638,-47.465988,-33.906887,-19.340158,-5.939939,8.505539,22.323862,36.125462,49.212105,62.411633,75.991638
15,9700,-71.00,43.00,42.989563,-70.996521,-13.563489,21.491266,-13.686880,9.000000,-13.563490,1265.379305,-46764.977182,3345151.194637,1081.411043,-266.604972,2103170.812362,1081.522583,32.886509,0.999897,-0.007496,1.798057,1.798057,-41.977264,-13.699057,14.996643,-59.004028,-47.571674,-36.299355,-25.044436,-13.699057,-2.002289,9.134342,20.918089,31.932951,42.989563,-59.004028,-47.571674,-36.299355,-25.044436,-13.699057,-2.002289,9.134342,20.918089,31.932951,42.989563
16,2500,-59.00,1.10,1.086346,-58.994499,-28.960497,20.347550i,-29.033861,-20.000000,-28.960492,1136.407645,-50139.514645,2359732.131458,297.697532,14.348454,159867.571039,297.816650,17.257364,0.999600,0.002792,1.802447,1.802447,-44.174667,-29.043032,-14.287395,-52.822624,-47.351391,-40.937412,-34.710518,-29.043032,-23.078417,-17.339399,-10.969440,-5.070854,1.086346,-52.822624,-47.351391,-40.937412,-34.710518,-29.043032,-23.078417,-17.339399,-10.969440,-5.070854,1.086346
17,1900,-66.00,5.03,4.974894,-65.824425,-30.706340,20.773645,-30.859375,-35.000000,-30.706357,1357.344652,-67003.842210,3532275.270515,414.464313,128.624641,314311.268278,414.682556,20.363756,0.999474,0.015232,1.827799,1.827799,-48.290417,-30.869129,-13.237580,-58.861977,-51.734791,-44.332314,-37.695015,-30.869129,-23.594543,-16.952908,-9.947109,-2.098101,4.974894,-58.861977,-51.734791,-44.332314,-37.695015,-30.869129,-23.594543,-16.952908,-9.947109,-2.098101,4.974894
18,5200,-57.00,4.46,4.420586,-56.990623,-26.478215,17.476065i,-26.533529,-29.000000,-26.478192,1023.161248,-44121.435171,2027392.700175,322.066602,25.529739,183765.524218,322.128571,17.947941,0.999808,0.004416,1.770947,1.770947,-42.541367,-26.533529,-11.028338,-51.212048,-45.410961,-39.212261,-32.623447,-26.533529,-20.338579,-13.757267,-7.761127,-1.646826,4.420586,-51.212048,-45.410961,-39.212261,-32.623447,-26.533529,-20.338579,-13.757267,-7.761127,-1.646826,4.420586
19,500,-61.00,44.67,44.469170,-60.987103,-8.742405,18.910695i,-6.596598,9.000000,-8.742402,995.673318,-27006.788777,2010871.706610,919.243721,-2229.407033,1505523.849104,921.085938,30.349398,0.998000,-0.079752,1.774546,1.774546,-36.291847,-6.752999,17.494011,-51.561111,-41.145119,-30.903267,-17.978407,-6.752999,2.889049,11.399204,21.931288,31.073496,44.469170,-51.561111,-41.145119,-30.903267,-17.978407,-6.752999,2.889049,11.399204,21.931288,31.073496,44.469170
20,4900,-14.00,59.00,58.991089,-13.975493,22.990714,16.878064,23.131596,39.000000,22.990713,968.402078,42127.099704,1991934.879313,439.829179,-361.129276,350865.226334,439.918976,20.974245,0.999796,-0.039138,1.812988,1.812988,5.010254,23.129368,40.896481,-6.607990,1.164983,8.835475,15.759636,23.129368,30.746391,37.612629,44.338512,51.645863,58.991089,-6.607990,1.164983,8.835475,15.759636,23.129368,30.746391,37.612629,44.338512,51.645863,58.991089
